suspect_name,weapon_mentions,total_lying_prob,good_suspect,statement_1,statement_2,statement_3,statement_4,statement_5,statement_6,statement_7,statement_8,statement_9,statement_10,lying_prob_1,lying_prob_2,lying_prob_3,lying_prob_4,lying_prob_5,lying_prob_6,lying_prob_7,lying_prob_8,lying_prob_9,lying_prob_10
Clair Green,,,,I arrived late to the party,Someone was carrying a bag upstairs,I heard arguing in the study,The buffet in the kitchen looked incomplete,I stayed near the entrance,Someone mentioned a knife was missing,I saw the host alive at ten,The decorations were strange,I left with friends,Nothing seemed wrong to me,0.5,0.52,0.49,0.51,0.5,0.52,0.49,0.51,0.5,0.51
Amelie Boom,3.0,0.77,1.0,,,,,,,,,,,,,,,,,,,,
Kaila Bryant,4.0,0.85,1.0,,,,,,,,,,,,,,,,,,,,
Amelie Boom,,,,I arrived alone,I mingled with guests,The host mentioned a knife collection,I stayed in common areas,I left at midnight,Nothing caught my eye,The party was enjoyable,Music was loud,Food was great,I had a nice time,0.54,0.53,0.55,0.54,0.53,0.55,0.54,0.53,0.54,0.55
Dannylo Correia,3.0,0.86,1.0,,,,,,,,,,,,,,,,,,,,
Stephen Playford,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,
Lindsay Abad,4.0,0.79,1.0,,,,,,,,,,,,,,,,,,,,
Adam Acunin,5.0,0.89,1.0,,,,,,,,,,,,,,,,,,,,
Alfonso Alcaraz Moreno,3.0,0.75,1.0,,,,,,,,,,,,,,,,,,,,
Kaila Bryant,,,,I was invited last minute,I talked about the knife exhibit at the museum,I did not know many people,The host was welcoming,I stayed near the food,Nothing seemed unusual,The house was impressive,Music was nice,Food was delicious,I had an okay time,0.53,0.55,0.54,0.53,0.54,0.55,0.53,0.54,0.55,0.54
Marina Amigon,5.0,0.92,1.0,,,,,,,,,,,,,,,,,,,,
Pomaa Anim-Amofa,2.0,0.68,1.0,,,,,,,,,,,,,,,,,,,,
Kirby Bach,3.0,0.55,0.0,,,,,,,,,,,,,,,,,,,,
Tori Banda,1.0,0.26,0.0,,,,,,,,,,,,,,,,,,,,
