suspect_name,statement_index,time,location,activity
Quinn Hynes,0,19:00 PM,Pantry,Looking in drawers
Quinn Hynes,1,19:10 PM,Kitchen,Speaking in a high-pitched voice
Quinn Hynes,2,19:20 PM,Pantry,Looking in drawers
Quinn Hynes,3,19:30 PM,Kitchen,Reading warning labels
Quinn Hynes,4,19:40 PM,Dining Room,Washing up after handling items
Quinn Hynes,5,19:50 PM,Kitchen,Reading warning labels
Quinn Hynes,6,20:00 PM,Pantry,Reading warning labels
Quinn Hynes,7,20:10 PM,Kitchen,Inflating balloons
Quinn Hynes,8,20:20 PM,Pantry,Inflating balloons
Quinn Hynes,9,20:30 PM,Pantry,Reading warning labels
Quinn Hynes,10,20:40 PM,Kitchen,Inflating balloons
Quinn Hynes,11,20:50 PM,Pantry,Speaking in a high-pitched voice
Quinn Hynes,12,21:00 PM,Kitchen,Looking in drawers
Quinn Hynes,13,21:10 PM,Pantry,Ripping wippets
Quinn Hynes,14,21:20 PM,Kitchen,Reading warning labels
Quinn Hynes,15,21:30 PM,Kitchen,Reading warning labels
Quinn Hynes,16,21:40 PM,Pantry,Complaining about TSA going through their purse
Quinn Hynes,17,21:50 PM,Kitchen,Reading warning labels
Quinn Hynes,18,22:00 PM,Pantry,Speaking in a high-pitched voice
Quinn Hynes,19,22:10 PM,Kitchen,Reading warning labels
Clair Green,0,19:00 PM,Dining Room,Talking about skeet shooting
Clair Green,1,19:10 PM,Kitchen,Tying decorative knots
Clair Green,2,19:20 PM,Dining Room,Inflating balloons
Clair Green,3,19:30 PM,Dining Room,Complaining about TSA going through their purse
Clair Green,4,19:40 PM,Dining Room,Looking in drawers
Clair Green,5,19:50 PM,Kitchen,Ripping wippets
Clair Green,6,20:00 PM,Dining Room,Chatting with guests
Clair Green,7,20:10 PM,Dining Room,Whittling a stick
Clair Green,8,20:20 PM,Kitchen,Bringing in the shopping
Clair Green,9,20:30 PM,Dining Room,Bragging about their Birkin
Clair Green,10,20:40 PM,Kitchen,Polishing household items
Clair Green,11,20:50 PM,Kitchen,Ripping wippets
Clair Green,12,21:00 PM,Dining Room,Complaining about TSA going through their purse
Clair Green,13,21:10 PM,Living Room,Tying decorative knots
Clair Green,14,21:20 PM,Bathroom,Serving drinks and chatting with guests
Clair Green,15,21:30 PM,Bathroom,Bragging about their Birkin
Clair Green,16,21:40 PM,Bathroom,Peeling an orange
Clair Green,17,21:50 PM,Living Room,Chatting with guests
Clair Green,18,22:00 PM,Study,Complaining about TSA going through their purse
Clair Green,19,22:10 PM,Study,Peeling an orange
Arda Kurama,0,19:00 PM,Living Room,Inspecting wine bottles
Arda Kurama,1,19:10 PM,Study,Taking her dog for a walk
Arda Kurama,2,19:20 PM,Living Room,Reading a novel quietly
